"gisaid_collect_weekstartdate","Alpha","Beta","Gamma","Delta","All VOIs","Other","Sequencing as % of new cases","Submission Lag","New Weekly Cases"
2021-02-08,8.33333333333333,0.172913877733155,0.0557786702365016,0.00557786702365016,3.90450691655511,87.5278893351182,2.80677144570334,24,638741
2021-02-15,11.9610198905353,0.26031237484982,0.0800961153384061,0,4.57882792684555,83.1197436924309,3.22223345384627,25,464957
2021-02-22,18.7256637168142,0.389380530973451,0.176991150442478,0.023598820058997,6.62536873156342,74.0589970501475,3.5753534748428,23,474079
2021-03-01,23.7868843987391,0.387576869412433,0.485763009663583,0.00516769159216578,7.25027130380859,68.0843367267841,4.64952558068012,27,416193
2021-03-08,31.6041609635916,0.474495848161329,0.780180673419108,0.0136873802354229,9.33479332055845,57.7926818140341,5.83279222507265,27,375772
2021-03-15,39.4599642051202,0.579721422457396,1.35398023500117,0.01556299120691,12.2753093144502,46.3154618317641,6.74246319478693,24,381196
2021-03-22,47.7754891864058,0.700308959835221,2.2828698935805,0.0205973223480947,15.6333676622039,33.5873669756265,6.57487868186435,21,443050
2021-03-29,55.3307230176047,0.684460650984846,3.68831634635502,0.0597782227934364,15.1627462115551,25.0739755507069,7.52067471851137,22,444867
2021-04-05,60.5362457482993,0.736075680272109,4.81505102040816,0.164753401360544,14.6391369047619,19.108737244898,7.6972953513916,21,488899
2021-04-12,62.2612140936748,0.817885948776001,6.24027168529786,0.421678222725343,15.169095797368,15.0898542521579,7.47868674810996,23,472476
2021-04-19,64.9585356989461,0.716952456470744,7.22238741864076,1.01100208147487,14.0714309313774,12.0196914130902,7.43211719697677,21,407246
2021-04-26,67.1157717031362,0.762937471592754,8.92799168885137,1.29212388805922,12.5576261281735,9.343549120187,8.94060687685404,20,344518
2021-05-03,68.0939011074715,0.772110435189518,9.38231165184838,2.01606613632819,11.9014194353455,7.83419123381688,8.94432294991054,20,286707
2021-05-10,67.0080118851807,0.647317875523956,10.2987212819016,3.08802461930281,12.1557807608638,6.80214357722714,8.11133012558424,19,232354
2021-05-17,65.89001447178,0.846599131693198,11.3675832127352,4.79015918958032,10.9696092619392,6.13603473227207,7.8287420197248,20,176529
2021-05-24,61.9766206163656,0.563230605738576,12.2741764080765,9.40488841657811,9.85122210414453,5.92986184909671,6.69407847935577,20,140572
2021-05-31,53.4621099554235,0.37147102526003,13.1203566121843,17.1322436849926,9.15304606240713,6.76077265973254,6.67241704093672,20,100863
2021-06-07,47.1649923378171,0.15324365741529,12.1232760088541,26.9879107781372,6.69163970713434,6.87893751064192,5.90815351340476,22,99405
2021-06-14,36.7250354945575,0.0788767944470737,10.4432875847926,40.8739548824736,4.77993374349266,7.09891150023663,7.93803846924464,21,79856
2021-06-21,23.473466574776,0.0689179875947622,7.92556857339766,57.4500344589938,2.86698828394211,8.21502412129566,8.69091257576846,16,83478
2021-06-28,13.6824936571221,0.0724900326205147,4.00507430228344,70.5509242479159,1.92098586444364,9.76803189561435,5.9756123973923,15,92342
2021-07-05,8.3725305738476,0,3.99811853245532,74.3179680150517,1.08184383819379,12.2295390404516,1.56108879702174,10,136187
2021-07-12,5.88235294117647,0,1.41987829614604,70.3853955375254,0.608519269776876,21.7038539553753,0.218130010795887,7,226012
