"gisaid_collect_weekstartdate","owid_continent","Alpha","Beta","Gamma","Delta","All VOIs","Other","Sequencing as % of new cases","Submission Lag","New Weekly Cases","Sequencing as % of new cases India","Submission Lag India","New Weekly Cases India","Sequencing as % of new cases UK","Submission Lag UK","New Weekly Cases UK","Sequencing as % of new cases US","Submission Lag US","New Weekly Cases US"
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.527813737435273,114.5,840448,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.725620953364248,109,896887,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.893507612953735,105,1011631,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.599657098908997,98,1191014,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.56809891146801,116,1336387,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.478528962457839,172,1457801,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.444645561159691,77,1588906,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.431001264460663,108,1751735,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.428707534917946,112,1821055,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.470084182018917,124,1791594,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.463007848823117,116,1815304,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.451146812454029,101,1749763,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.439730744540199,73,1805423,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.410182422131397,66,1907444,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.436414699995885,49,1895674,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.460758301741514,52,2039030,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.558236080731466,37,2060956,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.488781695831879,45,2073932,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.574868323330585,35,2344189,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.565648714876345,31,2501199,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.553643364308504,33,3007893,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.480269562980199,37,3529268,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.593250710179818,40,3951112,NA,NA,NA,NA,NA,NA,NA,NA,NA
